Derrick Jones Jr.,DAL,27,76,1783,0.6,1,2.5,0.3,0,5.5
Dexter Dennis,DAL,25,4,30,0,0,0,0,0,6
Dwight Powell,DAL,32,63,836,2.4,5.9,2.5,0.4,0.1,13.6
Greg Brown III,DAL,22,6,40,0.9,1.8,0,0.9,0,12.6
Jaden Hardy,DAL,21,73,989,0.4,0.4,1.6,0.2,0.2,3.5
Josh Green,DAL,23,57,1505,0.5,1,2.2,0.4,0.1,3.8
Kyrie Irving,DAL,32,58,2030,0.3,0.6,2.6,0.7,0.1,3.1
Luka Dončić,DAL,25,70,2624,0.5,0.2,2.5,0.6,0.1,4.6
Markieff Morris,DAL,34,26,216,2,2,1.8,0.5,0,6.7
Maxi Kleber,DAL,32,43,871,1.7,2.7,1.2,0.3,0.2,11.7
Olivier-Maxence Prosper,DAL,21,40,336,1.9,0.3,0.8,0.3,0.1,6.1
P.J. Washington,DAL,25,73,2221,0.8,1.5,2.6,0.3,0,7.4
Tim Hardaway Jr.,DAL,32,79,2120,0.4,0.9,1.1,0.4,0.4,4.4
Aaron Gordon,DEN,28,73,2297,0.4,1.4,1.6,0.3,0,5.4
Braxton Key,DEN,27,20,60,1.8,1.2,1.8,0.6,0,4.8
Christian Braun,DEN,23,82,1656,0.6,0.4,1.4,0.5,0.1,6
Collin Gillespie,DEN,25,24,225,0.6,1.1,4.2,0.2,0,6.7
DeAndre Jordan,DEN,35,36,396,2.3,7,1.1,0.2,0,8
Hunter Tyson,DEN,24,18,48,2.3,0,1.5,0.8,0,5.3
Jalen Pickett,DEN,24,27,122,0.9,0.3,2.1,0.3,0,4.7
Jamal Murray,DEN,27,59,1861,0.2,0.3,2.1,0.4,0,6.3
Jay Huff,DEN,26,20,49,3.7,6.6,4.4,0,0,10.3
Julian Strawther,DEN,22,50,545,0.9,0.5,2.2,0.3,0.1,5.4
Justin Holiday,DEN,35,58,862,0.3,0.1,2.8,0.5,0,4.4
Kentavious Caldwell-Pope,DEN,31,76,2402,0.2,0.6,2.7,0.4,0,2.7
